stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
JANV12CP41424,41424,Curé-Labelle / Du Souvenir [41424] ,-73.756792,45.548819,0,1,1
MARS12CP41424,41424,Curé-Labelle / Du Souvenir [41424] ,-73.756792,45.548819,0,1,1
JANV12CP41425,41425,Curé-Labelle / Du Souvenir [41425] ,-73.757421,45.549078,0,0,1
MARS12CP41425,41425,Curé-Labelle / Du Souvenir [41425] ,-73.757421,45.549078,0,0,1
JANV1241426,41426,Curé-Labelle / Saint-Martin [41426] ,-73.75889,45.551109,0,0,1
MARS1241426,41426,Curé-Labelle / Saint-Martin [41426] ,-73.75889,45.551109,0,0,1
JANV1241427,41427,Curé-Labelle / Saint-Martin [41427] ,-73.760715,45.552427,0,0,0
MARS1241427,41427,Curé-Labelle / Saint-Martin [41427] ,-73.760715,45.552427,0,0,0
JANV1241428,41428,Curé-Labelle / Saint-Martin [41428] ,-73.760652,45.552796,0,0,0
MARS1241428,41428,Curé-Labelle / Saint-Martin [41428] ,-73.760652,45.552796,0,0,0
JANV1241429,41429,Curé-Labelle / Face Au 1830 [41429] ,-73.761679,45.553226,0,0,0
MARS1241429,41429,Curé-Labelle / Face Au 1830 [41429] ,-73.761679,45.553226,0,0,0
JANV1241430,41430,Curé-Labelle / Albert [41430] ,-73.763067,45.554347,0,0,0
MARS1241430,41430,Curé-Labelle / Albert [41430] ,-73.763067,45.554347,0,0,0
JANV12CP41431,41431,Chomedey / Lévesque [41431] ,-73.730908,45.536015,0,1,1
MARS12CP41431,41431,Chomedey / Lévesque [41431] ,-73.730908,45.536015,0,1,1
JANV1241432,41432,Curé-Labelle / Mayo [41432] ,-73.763682,45.554265,0,0,1
MARS1241432,41432,Curé-Labelle / Mayo [41432] ,-73.763682,45.554265,0,0,1
JANV1241433,41433,Curé-Labelle / Face Au 2032 [41433] ,-73.765136,45.555746,0,0,0
MARS1241433,41433,Curé-Labelle / Face Au 2032 [41433] ,-73.765136,45.555746,0,0,0
JANV1241434,41434,Curé-Labelle / Acadia [41434] ,-73.7657,45.555799,0,0,0
MARS1241434,41434,Curé-Labelle / Acadia [41434] ,-73.7657,45.555799,0,0,0
